selection,margin,reference_retained_weight_fraction,new_retained_weight_fraction,Lambda1,Lambda2,r_gain,weak_axis_w0,weak_axis_wa,delta_phi_weak_deg,delta_phi_strong_deg,determinant_closure_relative_error
full,,1.0,1.0,3.1498904254399016,1.0066776529773986,1.0062120268794248,-0.08613734008238486,0.9962832722893281,4.632053146525948,85.36794685347402,5.602015913953379e-16
w0+wa < -0.05,0.05,0.9689575221836643,0.9999941491735779,2.965585656350552,1.0069927630042095,1.0071151053415786,-0.09006545493398004,0.9959358482490401,4.707292692308154,85.29270730769188,1.7844921642886233e-15
w0+wa < -0.10,0.1,0.9383351363200156,0.9999784968113726,2.8355732815167713,1.009313679743514,1.010147717946576,-0.09263323461765587,0.9957002982043694,4.909141912104365,85.09085808789558,1.5516836574820332e-15
w0+wa < -0.20,0.2,0.8705820000839707,0.9986107386574071,2.5882443926156293,1.017261477975981,1.0217339842423687,-0.09772410783690105,0.9952135442946313,5.292044434136844,84.707955565863,5.06003586721467e-16
