selection,margin,reference_retained_weight_fraction,new_retained_weight_fraction,Lambda1,Lambda2,r_gain,weak_axis_w0,weak_axis_wa,delta_phi_weak_deg,delta_phi_strong_deg,determinant_closure_relative_error
full,,1.0,1.0,6.734333872760269,1.497219691705578,1.1721243505469714,-0.2482027606787984,0.9687081033992765,3.345391157663174,86.65460884233687,1.7617733578973602e-16
w0+wa < -0.05,0.05,0.9997834767561398,0.9999941491735779,6.721593880742812,1.4975293114600337,1.1726076778940997,-0.24811032606904923,0.9687317823308523,3.3513543975776634,86.6486456024225,3.5294952977084023e-16
w0+wa < -0.10,0.1,0.9995346507363233,0.9999784968113726,6.709657258722153,1.4975718200144679,1.172977653967137,-0.24802802392728948,0.9687528577231264,3.3564663904319807,86.64353360956801,1.7678369907541935e-15
w0+wa < -0.20,0.2,0.9986643634211507,0.9986107386574071,6.720085657803224,1.4987698465875399,1.1730765077301522,-0.24770746063747281,0.9688348744468972,3.360014874104273,86.63998512589563,5.291048120263023e-16
