rep,Lambda1,Lambda2,r_gain_algebraic,delta_phi_weak_deg,delta_phi_strong_deg
45,3.09124268412,1.00812089869,1.0077664599,4.9215853529,85.0784146471
46,3.16010958227,1.00331776503,1.00307184156,4.60072948281,85.3992705172
47,3.42832438748,1.04517534215,1.03719413522,4.87388414125,85.1261158588
48,3.19721420192,0.947415588715,0.95216277915,4.71906159179,85.2809384082
49,3.10751325574,1.01802240636,1.01710175579,4.48723470639,85.5127652936
50,3.38447359198,1.02986141329,1.02504261812,4.21180623658,85.7881937634
51,3.13640302764,0.996130311035,0.996377391139,4.63911924613,85.3608807539
52,3.24573472459,0.987260473895,0.988654834414,4.45485685297,85.545143147
53,2.99039810294,1.00112070895,1.00112611502,5.35842705288,84.6415729471
54,3.10299594132,1.00648242735,1.00616488661,4.74708860795,85.252911392
55,3.25148508002,1.02311779479,1.02053343191,4.71064093598,85.289359064
56,3.4000066174,1.01888196617,1.01573395454,4.49251545626,85.5074845437
57,3.06765810302,0.985962755298,0.986422709117,4.19142394187,85.8085760581
58,3.04099464471,1.01934011337,1.01894995364,4.62225929842,85.3777407016
59,3.13059628124,1.0049912013,1.00468523666,4.42034495314,85.5796550469
60,3.04806347302,1.00477892461,1.00466674852,4.8225882353,85.1774117647
61,3.09654647599,1.01361062691,1.01298330705,4.42701125747,85.5729887425
62,3.09066162191,1.04892160149,1.04677450238,4.57862851857,85.4213714814
63,3.06406427314,0.987590805497,0.987976395737,4.55706009681,85.4429399032
64,3.18349096596,1.01503905817,1.01377458849,5.127458605,84.872541395
65,3.19517403006,1.03636667435,1.03312420393,4.35634416522,85.6436558348
66,3.01844590437,0.949481659175,0.949974666202,4.99359623011,85.0064037699
67,3.41584387889,1.02093811918,1.01733269825,4.44253030539,85.5574696946
68,2.98765954678,0.982543710448,0.982436687117,5.02718512758,84.9728148724
69,3.19105923664,1.06819069051,1.06218426609,4.85375491606,85.1462450839
70,3.20173974312,1.02064461478,1.0187513533,4.8652887305,85.1347112695
71,3.10516056946,0.984304869792,0.985089728482,4.70119620187,85.2988037981
72,3.16674861923,0.96383181687,0.96662454714,4.3271624054,85.6728375946
73,3.26215001484,1.04318929032,1.03817037142,4.21244171889,85.7875582811
74,3.22178457129,0.969674507946,0.972706765658,4.52492675597,85.475073244
75,3.11390102076,1.00879239144,1.0083184967,4.75834328632,85.2416567137
76,3.04581747471,0.977086779608,0.9776027463,4.34177707592,85.6582229241
77,3.18587948691,1.02595203852,1.02374182203,4.63975524978,85.3602447502
78,3.19869081304,0.968254850676,0.971129607796,4.91557636453,85.0844236355
79,3.30986971568,1.06102413453,1.05280087586,4.53886346083,85.4611365392
80,3.17680832092,1.00736539252,1.00676707097,5.26972405818,84.7302759418
81,3.2479136152,1.05120497782,1.04553415409,4.93362539808,85.0663746019
82,3.08682480384,1.01981187845,1.01898587068,4.90567816262,85.0943218374
83,3.06336225738,0.972714442221,0.973556958215,4.9377711264,85.0622288736
84,3.01045642271,1.04060051293,1.04037288381,5.09532181194,84.9046781881
85,3.21096698697,1.00537426185,1.00486142953,4.77251235749,85.2274876425
86,3.01343189432,0.983311149464,0.983423622047,4.27297123463,85.7270287654
87,3.19623012091,0.994631039531,0.995110777935,4.52236382489,85.4776361751
88,3.29551726086,0.972785641234,0.976292459436,4.99661698627,85.0033830137
89,3.29008215885,1.00654393375,1.00571497428,4.6780812363,85.3219187637
90,3.17236794466,1.0338611946,1.03116688378,4.62227032981,85.3777296702
91,3.25780036532,0.995404216638,0.995928989656,4.3082226494,85.6917773506
92,3.09949171336,0.997581162184,0.997695790281,4.69309085086,85.3069091491
93,3.25363807868,0.95983210301,0.964364162209,4.67508627585,85.3249137242
94,3.05924182713,1.0363830594,1.03532533669,4.3434471462,85.6565528538
95,3.11702664764,0.946086658569,0.949099933205,4.68374125038,85.3162587496
96,3.45072266775,1.0315400255,1.02573510487,3.97616783333,86.0238321667
97,3.28468245715,1.02052687827,1.01796767981,4.69411914505,85.3058808549
98,3.18295260941,0.984561205033,0.985855833333,4.89229138577,85.1077086142
99,3.011340819,1.06200343627,1.06159529985,5.10238628553,84.8976137145
100,2.97632630293,0.991775939757,0.991677570831,4.65721043592,85.3427895641
101,3.00594676737,0.990434031477,0.990462607344,4.30704696439,85.6929530356
102,2.99356240845,0.964633510438,0.964530468297,4.63130192261,85.3686980774
103,3.30878287407,1.05684650015,1.04921386009,4.14231280157,85.8576871984
104,3.15381182931,1.00268811968,1.00249614702,5.12687604954,84.8731239505
105,3.05301250022,1.00577613788,1.005626943,4.34005955687,85.6599404431
106,3.13235930153,1.06457710587,1.06051319188,4.42648057801,85.573519422
107,2.95058503261,0.952917656001,0.951753009474,4.68017409326,85.3198259067
108,2.97846022989,1.01878751544,1.01899034527,5.00345207412,84.9965479259
109,3.09178136075,0.974669362445,0.97578434914,4.37707549531,85.6229245047
110,3.12405694504,0.951962830611,0.954791595999,4.45201795125,85.5479820488
111,3.26458305497,1.03904534038,1.03447322141,4.56003691497,85.439963085
112,3.2537727939,0.993673674848,0.994386057616,4.25938457476,85.7406154252
113,3.32534710338,1.01220137784,1.01049395326,4.97694327282,85.0230567272
114,3.12282199554,1.00158371019,1.00149207923,4.42187544704,85.578124553
115,2.93670445995,0.958322184415,0.95697998945,4.75175425249,85.2482457475
116,2.93476422472,0.982848843271,0.982271939061,4.49522956931,85.5047704307
117,3.09686300689,1.02830239228,1.02699006748,4.76350972612,85.2364902739
118,3.12860487752,1.02483108519,1.02332767987,4.58949774367,85.4105022563
119,3.14247306331,0.986836752149,0.987712563386,4.41427955013,85.5857204499
120,3.07523705023,1.02012659237,1.01939508495,4.58847965472,85.4115203453
121,3.07274298482,1.0462491631,1.0446038402,4.6535660687,85.3464339313
122,3.31447074672,1.05815577531,1.05022235073,4.00436753003,85.99563247
123,3.09953267273,0.986865945563,0.987489082078,4.9551918939,85.0448081061
124,2.99737283462,1.07009550282,1.07010136485,5.38737347878,84.6126265212
125,3.29804839201,1.02751613752,1.02394396324,4.42531674764,85.5746832524
126,3.11147306204,1.03027219851,1.02866811601,4.80094932284,85.1990506772
127,3.18518404017,0.990061357608,0.990903798836,4.42544338272,85.5745566173
128,3.12234598489,1.01589814269,1.01498082854,4.80696941702,85.193030583
129,3.26312470734,1.06152981,1.054335814,4.47663175444,85.5233682456
130,2.95684658426,0.975645736921,0.97511251877,4.70111810808,85.2988818919
131,3.06629815033,1.00728208406,1.00704834742,4.99724913785,85.0027508622
132,3.14115360306,0.97188740525,0.973745228479,4.24628093176,85.7537190682
133,3.0324530212,0.98759665097,0.987795154931,4.64286367012,85.3571363299
134,3.19248962187,0.973506741764,0.975836245572,4.63031100205,85.369688998
135,3.21624841223,1.02137536637,1.01928789032,4.4032093172,85.5967906828
136,3.37130687791,1.02065280511,1.01741760108,5.01753602218,84.9824639778
137,3.14325591719,1.07254436027,1.06761800396,4.57488241843,85.4251175816
138,3.19186091427,1.04560827652,1.04159802074,5.04416009316,84.9558399068
139,3.16088018614,1.03883154904,1.03592888997,4.73093052529,85.2690694747
140,2.92303105163,0.984267399804,0.983638800578,4.73166406499,85.268335935
141,3.48803017964,1.00330174282,1.00265409724,4.72546789001,85.27453211
142,3.19279869499,0.982610808249,0.984140725454,4.6833192396,85.3166807604
143,3.29808731941,0.972126836563,0.975745861866,4.26323926279,85.7367607372
144,2.95230736984,1.02246365396,1.02300936899,4.69654759351,85.3034524065
145,3.32901129555,1.05656666805,1.04854705444,4.4820838027,85.5179161973
146,3.02511801859,1.05644826107,1.0557048393,4.39227670363,85.6077232964
147,3.02422941547,1.03766355099,1.03719985117,4.63605674413,85.3639432559
148,2.93823123378,1.02429150908,1.02506170961,5.22565218021,84.7743478198
149,3.08583210504,1.03799203604,1.03641658005,4.78954433549,85.2104556645
150,3.34118802009,1.03256950188,1.02781767173,4.83366411776,85.1663358822
151,3.06691128266,1.02740882746,1.02651686964,4.60563683536,85.3943631646
152,3.03175760619,1.01104927304,1.01087624453,4.54404489313,85.4559551069
153,3.26980260444,1.03408295286,1.030024875,4.05036202169,85.9496379783
154,3.17605520604,0.9706419396,0.973022083641,4.49160919994,85.5083908001
155,3.16136357667,0.975626799124,0.977449326803,4.26268155208,85.7373184479
156,3.1452103818,1.05857828903,1.05457240307,5.12214531472,84.8778546853
157,3.07878059268,1.05031921434,1.04838389191,4.80089908456,85.1991009154
158,3.16010379417,0.957528781215,0.960691882779,4.75840552539,85.2415944746
159,3.15691177897,1.0008787964,1.00081486527,4.83168712959,85.1683128704
160,3.00423023304,1.00383664538,1.00382853352,4.61496691822,85.3850330818
161,3.16117588343,1.04274321314,1.03954004909,4.93004564065,85.0699543593
162,2.95293088569,1.02224188288,1.02277499777,4.65958448807,85.3404155119
163,3.26405240049,1.03603029158,1.03182008414,5.30451351833,84.6954864817
164,3.15810740859,1.01696606314,1.0157221226,4.73072508235,85.2692749176
165,3.04204151404,1.01127995736,1.01104738871,4.43822116249,85.5617788375
166,3.1633276852,0.963379360939,0.966153857773,4.42359726965,85.5764027304
167,3.10713970116,0.977597739858,0.978739209109,4.71583077038,85.2841692296
168,2.98867725726,1.01205091736,1.0121190855,4.64449498604,85.355505014
169,3.03235076343,0.948186921127,0.949044795171,4.29742815227,85.7025718477
170,2.82700965177,0.956406810655,0.952306343869,4.81886643354,85.1811335665
171,3.21489028657,1.00081685006,1.00073759857,4.70616543582,85.2938345642
172,3.33953759005,1.02977580809,1.02545031621,4.93711131014,85.0628886899
173,3.05076221652,1.03884287943,1.03786782224,4.87234199474,85.1276580053
174,3.1615962896,1.03431385406,1.03174062569,4.7056624217,85.2943375783
175,3.27298499573,0.967128300952,0.971082232802,4.48703083008,85.5129691699
176,3.15059721249,0.987708338978,0.988569445326,4.16635673401,85.833643266
177,3.02273060939,0.951056491381,0.951634815254,4.74354200029,85.2564579997
178,3.10993138698,1.00988342519,1.00936827462,4.63444856454,85.3655514355
179,3.13613578153,0.996768138124,0.996974111378,5.00561636498,84.994383635
180,3.16435802305,1.05435681708,1.05019738245,4.69907066366,85.3009293363
181,3.08446541778,1.01423651319,1.01365899287,4.69053402361,85.3094659764
182,3.18760355268,0.990644918791,0.991447344179,4.42489530535,85.5751046946
