realization,Lambda1,Lambda2,r_gain,weak_axis_w0,weak_axis_wa,delta_phi_weak_deg,delta_phi_strong_deg,angle_weak_lt_5deg,angle_weak_lt_10deg,angle_weak_lt_45deg,angle_weak_lt_angle_strong
34,36.30517003307545,7.2497885068493035,1.3432863330640576,-0.20303426957910986,0.9791716322363905,49.52367647459718,40.4763235254028,0,0,0,0
35,37.68263794884726,6.910381708961618,1.3140902130870131,-0.2049195641193486,0.9787788168126321,49.729966952733584,40.2700330472664,0,0,0,0
36,36.75960471585706,7.014978469911411,1.3271556169694083,-0.19994119242596592,0.9798078993207204,51.87456989275805,38.12543010724193,0,0,0,0
37,37.314104841084976,7.343563039713768,1.3390264031924624,-0.20523579731638902,0.9787125561164044,47.29020213395258,42.709797866047424,0,0,0,0
38,37.90746731999645,6.8292526620585905,1.3081965233940407,-0.20137017752890987,0.979515212542396,53.42277603434326,36.57722396565674,0,0,0,0
39,37.70994454208106,7.043346865964086,1.3205609209728044,-0.19484794849402629,0.9808334603630064,57.160105173163856,32.839894826836115,0,0,0,0
40,36.81105941166691,7.077797007577018,1.3299333575812773,-0.204158381539245,0.9789378709843011,48.77946756003233,41.22053243996767,0,0,0,0
41,38.94464231130261,7.37245909237167,1.326668479843738,-0.20736933695751092,0.9782627244711936,47.3808990834589,42.61910091654109,0,0,0,0
42,36.64535382909609,7.257557531695704,1.3406041549107417,-0.2016716029050384,0.9794531967285178,53.35934746632833,36.640652533671656,0,0,0,0
43,34.71508228876245,7.072802849479196,1.348922190114224,-0.20053248967594892,0.9796870523715036,50.71694505448607,39.283054945513946,0,0,0,0
44,35.13743301879461,7.0641789652815765,1.3444120391842107,-0.20542648724330692,0.9786725490882411,43.77495329966384,46.22504670033616,0,0,1,1
45,37.85785233696566,6.958603840255514,1.3150937698761493,-0.20715531795030923,0.9783080671470037,47.22438140089233,42.77561859910766,0,0,0,0
46,38.864506311409606,7.473375286082009,1.3322132501788315,-0.20501122936426944,0.9787596210687028,52.20922464487717,37.79077535512282,0,0,0,0
47,38.808725850127246,7.076840867976333,1.3133568784981569,-0.2010293770164968,0.9795852130245531,53.037811684536344,36.962188315463656,0,0,0,0
48,36.212705330454206,7.277770079904735,1.3455788165978808,-0.1998390109926766,0.9798287450802149,54.16044276605989,35.8395572339401,0,0,0,0
49,37.89471845084519,7.027863190659259,1.3182647611563716,-0.20464471533622874,0.9788363195575417,48.71879960006695,41.28120039993306,0,0,0,0
50,35.61637205835536,7.013777317932086,1.337273572130593,-0.2017698437188397,0.9794329635894817,49.94764940508753,40.05235059491247,0,0,0,0
51,41.49812229947344,7.027613005604556,1.2912224244972133,-0.20429693103357913,0.9789089661302837,52.084192258299026,37.91580774170096,0,0,0,0
52,37.16357990188878,6.961026379705108,1.320949750731183,-0.20018995344889579,0.9797571038467282,53.21045094505356,36.78954905494646,0,0,0,0
53,35.18047894685033,6.78954700916171,1.3293152581105583,-0.20320414004441037,0.9791363937004954,48.73642195046655,41.26357804953345,0,0,0,0
54,38.32378036964144,7.715040763877814,1.3485444486295697,-0.20136825641323455,0.9795156074862175,53.76006335984158,36.23993664015841,0,0,0,0
55,38.045603859188,6.914069312652501,1.3113508435913477,-0.2020515667657909,0.9793748844888199,50.870378275124054,39.129621724875946,0,0,0,0
56,36.99623535353155,7.199322900739149,1.33452088478675,-0.20228936767458963,0.9793257944758805,52.22324067117027,37.776759328829705,0,0,0,0
57,37.355038895630145,7.181021618125476,1.3304835537890383,-0.1975158467777656,0.9802996941097463,54.698460939744784,35.301539060255195,0,0,0,0
58,34.987567586068195,6.943461557032587,1.3393654469341707,-0.1973775185468933,0.980327555040799,54.24655453440137,35.753445465598645,0,0,0,0
59,37.37582969432875,6.999505039872338,1.3211267935601367,-0.20433840781484303,0.9789003090671159,48.87613461074032,41.12386538925968,0,0,0,0
60,37.30490923849216,7.165321937438443,1.330120856976558,-0.1955580074701611,0.9806921360520336,58.100876406417804,31.899123593582175,0,0,0,0
61,37.43402338601693,7.452403115504434,1.3434254451477987,-0.20575957318861202,0.9786025741031138,44.72478935925119,45.27521064074882,0,0,1,1
62,35.75071799075046,6.719635860464105,1.3204985640848925,-0.19569039800069912,0.980665727009121,59.26173008899402,30.738269911005954,0,0,0,0
63,36.33915673262263,7.188422440741428,1.3398099580562919,-0.1992471587974995,0.9799492689476962,50.33265377110495,39.66734622889506,0,0,0,0
64,37.687783086865494,6.7980423765999465,1.3083729597913971,-0.20689467031194905,0.9783632226307926,47.53029280097741,42.46970719902258,0,0,0,0
65,36.48475984338108,6.918821919748785,1.3245678743320217,-0.2012965399885424,0.9795303481713271,51.04054063745756,38.95945936254245,0,0,0,0
66,35.92732809455419,7.023088307152897,1.3349324598132808,-0.20310682779156017,0.9791565842624199,50.59450413269787,39.405495867302115,0,0,0,0
67,36.62213350844493,7.308438494178827,1.343416226223452,-0.19772908205367057,0.9802567062306756,52.46446932707383,37.53553067292616,0,0,0,0
68,35.59815503438417,7.0766182581370956,1.3407568898011244,-0.20374404988544648,0.9790241887391122,50.216085791147925,39.783914208852075,0,0,0,0
