realization,Lambda1,Lambda2,r_gain,weak_axis_w0,weak_axis_wa,delta_phi_weak_deg,delta_phi_strong_deg,angle_weak_lt_5deg,angle_weak_lt_10deg,angle_weak_lt_45deg,angle_weak_lt_angle_strong
30,6.8580148729597745,1.4609341873755195,1.1564004214677255,-0.25133224087685063,0.9679008754494546,3.398610712017969,86.60138928798196,1,1,1,1
31,6.772458284571659,1.5421191800322882,1.1861874000294075,-0.24840831390325496,0.968655413232044,3.257528655615604,86.74247134438427,1,1,1,1
32,6.893447926241288,1.4599266129502533,1.1551358345967295,-0.25043203819843807,0.9681341819416232,3.379639274112139,86.62036072588768,1,1,1,1
33,6.946014132368417,1.5389492073553126,1.179803626295842,-0.246213768598421,0.9692155488602953,3.387249345109911,86.61275065489006,1,1,1,1
34,6.492816815713171,1.4769772941297017,1.1723733156204759,-0.2457809625887832,0.9693253934716305,3.358695730258563,86.64130426974143,1,1,1,1
35,6.723961800378957,1.5560793517066045,1.192482117381156,-0.24841203574576035,0.9686544587708494,3.42179601652733,86.57820398347248,1,1,1,1
36,6.954768905470967,1.5292793950713377,1.1763731710946708,-0.2473665190752054,0.9689219809874353,3.170896223510884,86.82910377648889,1,1,1,1
37,6.193248300381239,1.526049574108061,1.2005322104014018,-0.24480698431452227,0.9695718335589321,3.6783204895801265,86.32167951041966,1,1,1,1
38,6.361645431708448,1.5576282386880573,1.2057805250019906,-0.2455830938560028,0.9693755433329818,3.4244613288189534,86.57553867118106,1,1,1,1
39,6.9878336929916856,1.49249918152379,1.163394579415735,-0.2483877849091275,0.9686606775893905,3.7034194583723132,86.2965805416277,1,1,1,1
40,6.9860032461029835,1.5039226090795648,1.1671821717187947,-0.24941899379199958,0.9683956657977083,3.144769253282302,86.85523074671748,1,1,1,1
41,6.843658849699388,1.4197395480755708,1.142919056536547,-0.2495523471304913,0.9683613096575383,3.174408581302474,86.8255914186973,1,1,1,1
42,6.869209349261366,1.478212633679071,1.1618817231639964,-0.24686245968685852,0.9690505280930166,3.0769198632790924,86.92308013672087,1,1,1,1
43,6.659338411812347,1.5638326188720046,1.1972990647759791,-0.2450610743215604,0.9695076430087403,3.525422350085095,86.4745776499147,1,1,1,1
44,6.659464295653905,1.4769070675871931,1.1673460328367717,-0.24623289340818927,0.9692106903062054,3.164770501812798,86.83522949818715,1,1,1,1
45,6.8736963560441575,1.4885439137159882,1.1652068236981106,-0.2473172778779081,0.9689345509698071,3.1000552053627946,86.89994479463718,1,1,1,1
46,6.9729015721755445,1.633173790210641,1.2096594007417945,-0.2470592871518626,0.9690003656511247,3.5591755660937228,86.44082443390641,1,1,1,1
